Number,Date Time UTC 4,Temperature
1117,12/3/18 01:00,27.899
1118,12/3/18 01:15,27.899
1119,12/3/18 01:30,27.875
1120,12/3/18 01:45,27.875
1121,12/3/18 02:00,27.875
1122,12/3/18 02:15,27.875
1123,12/3/18 02:30,27.875
1124,12/3/18 02:45,27.875
1125,12/3/18 03:00,27.875
1126,12/3/18 03:15,27.875
1127,12/3/18 03:30,27.85
1128,12/3/18 03:45,27.85
1129,12/3/18 04:00,27.85
1130,12/3/18 04:15,27.85
1131,12/3/18 04:30,27.85
1132,12/3/18 04:45,27.85
1133,12/3/18 05:00,27.85
1134,12/3/18 05:15,27.85
1135,12/3/18 05:30,27.85
1136,12/3/18 05:45,27.85
1137,12/3/18 06:00,27.85
1138,12/3/18 06:15,27.825
1139,12/3/18 06:30,27.825
1140,12/3/18 06:45,27.801
1141,12/3/18 07:00,27.801
1142,12/3/18 07:15,27.825
1143,12/3/18 07:30,27.825
1144,12/3/18 07:45,27.825
1145,12/3/18 08:00,27.85
1146,12/3/18 08:15,27.875
1147,12/3/18 08:30,27.875
1148,12/3/18 08:45,27.875
1149,12/3/18 09:00,27.875
1150,12/3/18 09:15,27.899
1151,12/3/18 09:30,27.899
1152,12/3/18 09:45,27.924
1153,12/3/18 10:00,27.924
1154,12/3/18 10:15,27.924
1155,12/3/18 10:30,27.899
1156,12/3/18 10:45,27.924
1157,12/3/18 11:00,27.974
1158,12/3/18 11:15,27.949
1159,12/3/18 11:30,27.949
1160,12/3/18 11:45,27.949
1161,12/3/18 12:00,27.949
1162,12/3/18 12:15,27.974
1163,12/3/18 12:30,28.023
1164,12/3/18 12:45,28.023
1165,12/3/18 13:00,27.998
1166,12/3/18 13:15,28.048
1167,12/3/18 13:30,27.998
1168,12/3/18 13:45,27.998
1169,12/3/18 14:00,27.998
1170,12/3/18 14:15,28.023
1171,12/3/18 14:30,28.023
1172,12/3/18 14:45,28.023
1173,12/3/18 15:00,27.998
1174,12/3/18 15:15,27.998
1175,12/3/18 15:30,27.998
1176,12/3/18 15:45,28.023
1177,12/3/18 16:00,28.023
1178,12/3/18 16:15,27.998
1179,12/3/18 16:30,27.998
1180,12/3/18 16:45,27.974
1181,12/3/18 17:00,27.949
1182,12/3/18 17:15,27.949
1183,12/3/18 17:30,27.924
1184,12/3/18 17:45,27.924
1185,12/3/18 18:00,27.899
1186,12/3/18 18:15,27.899
1187,12/3/18 18:30,27.899
1188,12/3/18 18:45,27.899
1189,12/3/18 19:00,27.875
1190,12/3/18 19:15,27.875
1191,12/3/18 19:30,27.899
1192,12/3/18 19:45,27.899
