Status,Location,Project,Logger,Tag I.D.,Date On,Frequency,Duration (d),Date In,Time In,Date Full,Date Offloaded,Offloaded Filename,Date Out,Time Out,Notes,Processed,Metadata,
Removed,Kings Corner (STX),,10778711,400,9/28/2015,15,438,9/28/2015,,12/9/2016,11/5/2015,Temp_KingsCorner_092815_10778711-unprocedssed.hobo,,,,,,
Removed,Jacks (STX),,10778695,399,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_Jacks_092815_10778695.hobo,,,,,,
Removed,Great Pond (STX),,10778699,306,9/28/2015,15,438,9/28/2015,,12/9/2016,10/6/2015,Temp_GreatPond_092815_10778699.csv,,,,,,
Removed,Cane 9m (STX),,10778704,335,9/28/2015,15,438,9/28/2015,,12/9/2016,11/5/2015,Temp_Cane9m_092815_10778704.hobo,,,,,,
Removed,Cane 39m (STX),,10778696,493,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_Cane39m_092815_10778696.hobo,,,,,,
Removed,Cane 39m (STX),,10778700,857,9/28/2015,15,438,9/28/2015,,12/9/2016,10/24/2016,Temp_Cane39m_092815_10778700.csv,,,,,,
Removed,Salt Deep 40m (STX),,10778710,379,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_SaltDeep40m_092815_10778710.hobo,,,,,,
Removed,Salt Int 29m (STX),,10778712,302,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_SaltInt29m_092815_10778712.hobo,,,,,,
Removed,Mutton 24m (STX),,10777018,72,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_Mutton24m_092815_10777018.hobo,,,,,,
Removed,Mutton 39m (STX,,10778697,504,9/28/2015,15,438,9/28/2015,,12/9/2016,11/5/2015,Temp_Mutton39m_092815_10778697.hobo,,,,,,
Removed,Castle (STX),,10778707,751,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_Castle_092815_10778707.hobo,,,,,,
Removed,Eagle Ray (STX),,10778702,757,9/28/2015,15,438,9/28/2015,,12/9/2016,11/3/2015,Temp_EagleRay_092815_10778702.csv,,,,,,
Removed,Magens,,10777029,597,10/8/2015,15,438,10/8/2015,,12/19/2016,12/13/2016,Temp_Magens_Oct15_10777029.csv,,,,,,
Removed,Botany,,10778708,599,10/8/2015,15,438,10/8/2015,,12/19/2016,12/12/2016,Temp_Botany_Oct15_10778708.csv,,,,,,
Removed,Savana,,10778698,511,10/8/2015,15,438,10/8/2015,,12/19/2016,12/13/2016,Temp_Savana_Oct15_10778698.csv,,,,,,
Removed,El Seco (VR 67),,10777021,790,10/8/2015,30,913,10/8/2015,,4/8/2018,2/6/2019,BT_FSELSC_1410-1803.csv,,,,,,
Removed,El Seco (VR 67),,10777027,749,10/8/2015,30,913,10/8/2015,,4/8/2018,2/6/2019,BT_FSELSC_1410-1803.csv,,,,,,
Removed,Brewers Bay,,10777026,305,10/9/2015,15,438,11/5/2015,10:00:00,12/20/2016,10/12/2018,Temp_BrewersBay_Oct15_10777026.s=csv,10/11/2018,15:00:00,,,,
Removed,College Shoal East,,10777024,306,10/9/2015,15,438,10/9/2015,,12/20/2016,12/8/2016,Temp_CollegeShoalEast_Oct15_10777024.csv,,,,,,
Removed,Grammanik Tiger FSA,,10777015,855,10/9/2015,15,438,10/9/2015,,12/20/2016,12/8/2016,Temp_GrammanikTiger_Oct15_10777015.csv,,,,,,
Removed,Grammanik Tiger FSA,,10455136,813,10/9/2015,15,438,10/9/2015,,12/20/2016,12/8/2016,Temp_GrammanikTiger_Oct15_10455136.csv,,,,,,
Removed,Hind Bank East FSA,,10777025,382,10/9/2015,15,438,10/9/2015,,12/20/2016,12/8/2016,Temp_HindBankEast_Oct15_10777025.csv,,,,,,
Removed,South Water,,10777020,861,10/9/2015,15,438,10/9/2015,,12/20/2016,12/14/2016,Temp_SouthWater_Oct15_10777020.csv,,,,,,
Removed,St James,,10777016,378,10/9/2015,15,438,10/9/2015,,12/20/2016,12/1/2016,Temp_StJames_Oct15_10777016.csv,,,,,,
Removed,Coral Bay,,10776980,398,10/9/2015,15,438,10/9/2015,,12/20/2016,11/14/2015,Temp_CoralBay_Oct15_10776980.hobo,,,,,,
Removed,Fish Bay,,10777022,87,10/9/2015,15,438,10/9/2015,,12/20/2016,11/14/2015,Temp_FishBay_Oct15_10777022.hobo,,,,,,
Removed,Meri Shoal,,10777017,94,10/9/2015,15,438,10/9/2015,,12/20/2016,11/14/2015,Temp_MeriShoal_Oct15_10777017.hobo,,,,,,
Removed,South Capella,,10778703,351,10/9/2015,15,438,10/9/2015,,12/20/2016,12/14/2016,Temp_SouthCapella_Oct15_10778703.csv,,,,,,
Removed,South Capella 37m,,10777028,569,10/9/2015,15,438,,,12/20/2016,,ask tyler,,,,,,
Removed,Airport Runway Receiver 251,,10306847,757,10/23/2015,15,438,10/23/2015,,1/3/2017,3/7/2016,Temp_AirportRunway251_103014_10306847.hobo,,,,,,
Removed,Ginsburg 63m,,10302370,62,11/12/2015,15,438,11/12/2015,,1/23/2017,2/6/2017,Temp_Ginsburg63m_111215_10302370.hobo,,,,,,
Removed,Ginsburg 63m,,10778706,750,11/12/2015,15,438,11/12/2005,,1/23/2017,2/6/2017,Temp_Ginsburg63m_111215_10778706.hobo,,,,,,
Removed,Brewers Bay Lagoon Receiver 273,,10744999,na,12/3/2015,15,438,12/3/2015,,2/13/2017,3/7/2016,Temp_mnbLagoonRec27320151203_10744999.hobo,,,,,,
Removed,Brewers Bay Receiver Mooring 248,,10605990,na,12/3/2015,15,438,12/3/2015,,2/13/2017,3/7/2016,Temp_mnbreceiver24820151203_10605990.hobo,,,,,,
Running,North Drop 60mB,,10605984,396,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 60mA,,10606027,na,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 50mB,,10587884,391,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 50mA,,10558236,na,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 40mB,,10192568,na,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 40mA,,10629063,598,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 30mB,,10629076,na,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Running,North Drop 30mA,,10192560,495,2/29/2016,30,913,2/29/17,,8/30/2018,,,,,Ordered replacement logger from Onset for this one.,,,
Removed,CMES Water table Sun,,10221315,na,2/29/2016,15,438,2/29/2016,,5/12/2017,4/12/2016,Temp_cmeswatertablesun20160229_10221315.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,CMES Water Table Shade,,10606031,na,2/29/2016,15,438,2/29/2016,,5/12/2017,4/12/2016,Temp_cmeswatertableshade201602_10606031.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 273,,10629061,na,3/3/2016,15,438,3/3/2016,,5/15/2017,7/27/2016,Temp_mnb273_20160303_20160716_10629061.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 251,,10221317,na,3/3/2016,15,438,3/3/2016,,5/15/2017,7/27/2016,Temp_mnb251_20160303_20160727_10221317.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 248,,10629062,na,3/3/2016,15,438,3/3/2016,,5/15/2017,7/27/2016,Temp_mnb248_20160303_20160726_10629062.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 254,,10744983,na,3/3/2016,15,438,3/3/2016,,5/15/2017,7/27/2016,Temp_mnb254_20160303_20160727_10744983.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 253,,10605988,na,3/3/2016,15,438,3/3/2016,,5/15/2017,7/27/2016,Temp_mnb253_20160303_20160727_10605988.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 276,,10606034,na,3/4/2016,15,438,3/4/2016,,5/16/2017,7/27/2016,Temp_mnb276_20160304_20160727_10606034.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 267,,10606278,na,3/4/2016,15,438,3/4/2016,,5/16/2017,7/27/2016,Temp_mnb267_20160304_20160726_10606278.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mare nostrum 261,,10192574,na,3/4/2016,15,438,3/4/2016,,5/16/2017,7/27/2016,Temp_mnb261_20160304_20160726_10192574.hobo,,,Ordered replacement logger from Onset for this one.,,,
Removed,mnNoWa1De,,10605979,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 1 Mid,,10606028,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 1 surf,,10221323,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 4 Deep,,10606036,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 4 Mid,,10221311,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 4 surf,,10558250,na,3/4/2016,15,438,3/4/2016,,5/16/2017,3/1/2017,,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 6 Deep,,10302368,na,3/4/2016,15,438,3/4/2016,,5/16/2017,12/1/2016,Temp_mnNoWa6De20160304_10302368.csv,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 6 Mid,,10778699,na,3/4/2016,15,438,3/4/2016,,5/16/2017,12/1/2016,Temp_mnNoWa6mi_20160304_10778699.csv,,,Ordered replacement logger from Onset for this one.,,,
Removed,No Wake 6 surf,,10606275,na,3/4/2016,15,438,3/4/2016,,5/16/2017,12/1/2016,Temp_mnNoWa6su20160304_10606275.csv,,,Ordered replacement logger from Onset for this one.,,,
Removed,Cane Bay (STX),,10192571,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,BT_TCCB08_1610_1801.csv,,,,,,
Removed,Cane Bay (STX),,10192567,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,BT_TCCB08_1610_1801.csv,,,recovered from Onset 11/2018,,,
Removed,Cane Bay Deep (STX),,10192586,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXCBDeep_OS-MCE_101016_10192586.csv,,,,,,
Removed,Cane Bay Deep (STX),,10192574,na,10/5/2016,15,438,10/10/2016,,12/17/2017,11/2/2018,STXCBDeep_OS-MCE_101016_1019254.csv,,,,,,
Removed,Castle (STX),,10221315,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXCastle_OS-S_101016_10221315.csv,,,,,,
Removed,Eagle Ray (STX),,10221317,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXEagleBay_OS_S_101016_10221317.csv,,,,,,
Removed,Great Pond (STX),,10221322,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXGreatPond_NS_101016_10221322.csv,,,,,,
Removed,Jacks Bay (STX),,10306847,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/15/2018,STXJacksBay_NS_101016_10306847.csv,,,,,,
Removed,Kings Corner (STX),,10306849,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXKingsCorner_NS_101016_10306849.csv,,,,,,
Removed,Lang Bank EEMP (STX),,10455139,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/15/2018,STXLBankEEMP_OS-MCE_101016_10455139.csv,,,,,,
Removed,Lang Bank Red Hind FSA (STX),,10455140,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXLBRHindFSA_OS-MCE_101016_10455140.csv,,,,,,
Removed,Mutton Snapper FSA (STX),,10558242,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,College_Shoal_East_120216_10778712,,,,,,
Removed,Mutton Snapper FSA (STX),,10508028,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXMSnapperFSA_OS-S_101016_1050828.csv,,,,,,
Removed,Salt River Deep (STX),,10558245,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STX_SRDeep_OS-MCE_101016_10558245.csv,,,,,,
Removed,Salt River Deep (STX),,10558244,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXSRDeep_OS-MCE_101016_10558244.csv,,,,,,
Removed,Sprat Hole (STX),,10558247,na,10/5/2016,15,438,10/10/2016,,12/17/2017,3/26/2018,STXSpratHole_NS_101016_10558247.csv,,,,,,
Removed,Meri Shoal (STJ),,10778711,na,10/24/2016,15,438,10/24/2016,,1/5/2018,3/27/2018,BT_TCMERI_1610_1801.csv,,,,,,
Removed,Coral Bay (STJ),,10778697,na,10/24/2016,15,438,10/24/2016,,1/5/2018,2/6/2018,BT_TCCORB_1610_1801.csv,,,,,,
Removed,St James,,10776980,na,11/23/2016,15,438,11/23/2016,,2/4/2018,2/6/2018,BT_TCLSTJ_1611_1801.csv,,,,,,
Removed,Fish Bay (STJ),,10778704,na,10/24/2016,15,438,10/24/2016,,1/5/2018,2/6/2018,BT_TCFSHB_1610_1801.csv,,,,,,
Removed,Grammanik Tiger FSA,,10605986,na,11/30/2016,30,913,12/1/2016,,6/1/2019,5/25/2018,Gramm_Tiger_FSA_120116_10605986,,,,,,
Removed,Grammanik Tiger FSA,,10629068,na,11/30/2016,30,913,12/1/2016,,6/1/2019,5/25/2018,Gramm_Tiger_FSA_120116_10629068,,,,,,
Removed,Hind Bank East FSA,,10777017,na,11/30/2016,15,438,12/1/2016,,2/11/2018,5/25/2018,HindBank_East_FSA_120116_10777017,,,,,,
Removed,Seahorse,,10605988,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/10/2017,temp_shr_161207_170131_10605988,,,,,,
Removed,Seahorse,,10455133,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/10/2017,temp_shr_161207_170131_10455133,,,,,,
Removed,College Shoal East,,10778712,na,11/30/2016,15,438,12/2/2016,,2/11/2018,5/28/2018,College_Shoal_East_120216_10778712,,,,,,
Removed,Black Point,,10558248,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/10/2017,temp_bpt_161212_170208_10558248,,,,,,
Removed,Black Point,,10629062,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/10/2017,temp_bpt_161212_170208_10629062,,,,,,
Removed,Flat Cay,,10558253,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/14/2017,temp_flc_161213_170314_10558253.csv,,,,,,
Removed,Flat Cay,,10558249,na,11/30/2016,15,438,12/2/2016,,2/11/2018,3/14/2017,temp_flc_161213_170314_10558249.csv,,,,,,
Lost,Benner,,10778695,na,11/30/2016,15,438,12/2/2018,,2/11/2018,,Lost after Hurricanes Irma and Maria,,,,,,
Lost,Benner,,10777018,na,11/30/2016,15,438,12/2/2016,,2/11/2018,,Lost after Hurricanes Irma and Maria,,,,,,
Removed,Buck Island (STT),,10778710,na,11/23/2016,15,438,11/23/2016,,2/4/2018,2/7/2018,BT_TCBKIT_1611_1712.csv,,,,,,
Removed,South Water,,10778701,na,11/30/2016,15,438,12/5/2016,,2/11/2018,5/25/2018,SouthWater_102816_10778701.csv,,,,,,
Removed,Botany Bay,,10744997,na,11/30/2016,15,438,12/5/2016,,2/11/2018,2/7/2018,BT_TCBOTB_1612_1712.csv,,,,,,
Removed,Savana,,10606278,na,11/30/2016,15,438,12/5/2016,,2/11/2018,2/13/2018,BT_TCSAVA_1612_1712.csv,,,,,,
Removed,Magens Bay,,10778696,na,11/30/2016,15,438,12/5/2016,,2/11/2018,2/8/2018,BT_TCMAGB_1612_1712.csv,,,,,,
Removed,South Capella,,10744998,na,11/30/2016,15,438,12/5/2016,,2/11/2018,5/25/2018,South_Capella_120516_10744998.csv,,,,,,
Removed,Flat-Acropora-Howe,,10778709,na,1/12/2017,15,438,1/12/2017,,3/26/2018,3/14/2017,temp_flc_acropora_170112_170314_10778709.csv,,,,,,
Removed,Flat-Acropora-Howe,,10778702,na,1/12/2017,15,438,1/12/2017,,3/26/2018,3/14/2017,temp_flc_acropora_170112_170314_10778702.csv,,,,,,
Removed,Seahorse,,10777019,na,1/26/2017,15,438,1/26/2017,,4/9/2018,12/15/2017,temp_SHR_17Jan_17Dec_10777019.csv,,,,,,
Removed,Seahorse,,10777023,na,1/26/2017,15,438,1/26/2017,,4/9/2018,12/15/2017,temp_SHR_17Jan_17Dec_10777023.csv,,,,,,
Removed,Black Point,,10587899,na,1/26/2017,15,438,1/26/2017,,4/9/2018,12/15/2017,temp_bpt_17Jan_17Dec_10587899.csv,,,,,,
Removed,Black Point,,10777016,na,1/26/2017,15,438,1/26/2017,,4/9/2018,2/12/2018,BT_TCBKPT_1702_1712.csv,,,,,,
Removed,Grammanik009_80,,10778700,na,2/3/2017,15,438,2/3/2017,,4/17/2018,5/25/2018,Temp_009_80ft_20170203_10778700.csv,,,,,,
Removed,Grammanik009_115,,10606031,na,2/3/2017,15,438,2/3/2017,,4/17/2018,5/25/2018,Temp_009_115ft_20170203_10606031.csv,,,,,,
Removed,Mare Nostrom Station170,,10606034,na,2/3/2017,15,438,2/3/2017,,4/17/2018,,,,,,,,
Removed,Ginsburg(60m),,10744995,na,4/19/2017,30,913,4/20/2017,,10/19/2019,5/25/2018,Temp_Ginsgurg(60m)_170420_10744995.csv,,,,,,
Removed,Ginsburg(60m),,10606277,na,4/19/2017,30,913,4/20/2017,,10/19/2019,5/25/2018,Temp_Ginsgurg(60m)_170420_10606277.csv,,,,,,
Removed,Flat Cay,,10629062,na,3/14/2017,15,438,3/14/2017,,5/26/2018,12/15/2017,temp_flc_170314_171212_10629062.csv,,,attempted to swap logger on 8/24/17 but couldn't find it.,,,
Removed,Flat Cay,,10455133,na,3/14/2017,15,438,3/14/2017,,5/26/2018,8/28/2017,BT_TCFLTC_1703_1708.csv,,,new filename convention and metadata sheet completed,,,
Removed,Flat-Acropora-Howe,,10552848,na,3/14/2017,15,438,3/14/2017,,5/26/2018,8/24/2017,temp_flc_acropora_170314_170816_10558248.csv,,,,,,
Removed,Flat-Acropora-Howe,,10605988,na,3/14/2017,15,438,3/14/2017,,5/26/2018,8/24/2017,temp_flc_acropora_170314_170816_10605988.csv,,,,,,
Removed,Buck Island MCE (STX),,10455135,na,4/3/2017,30,906,4/3/2017,,9/26/2019,11/14/2018,BT_TCBX33_170403_181101_10455135_b.csv,11/1/2018,11:00:00,,,,
Removed,Buck Island MCE (STX),,10605983,na,4/3/2017,30,906,4/3/2017,,9/26/2019,11/14/2018,BT_TCBX33_170403-181101_10605983_a.csv,11/1/2018,11:00:00,,,,
Removed,Flat Cay,,10744985,na,8/23/2017,15,438,8/24/2017,12:10:00,11/4/2018,12/15/2017,BT_TCFLTC_1708_1712.csv,,,,,,
Removed,Magens Bay,,10629073,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCMAGB_1712_1811,11/27/2018,8:15:00,,,,
Removed,Botany Bay,,10587892,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCBOTB_1712_1811,11/24/2018,9:30:00,,,,
Removed,Savana,,10587888,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCSAVA_1712_1811,11/27/2018,13:50:00,,,,
Removed,Coculus Rock,,10587891,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCCORK_1712_1811,11/25/2018,8:45:00,,,,
Removed,Coculus Rock (duplicate),,10587887,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCCORK_1712_1811_dup,11/25/2018,8:45:00,,,,
Removed,Buck Island (STT),,10587885,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCBKIT_1712_1811,11/26/2018,8:45:00,,,,
Removed,Black Point,,10587894,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCBKPT_1712_1811,11/28/2018,14:00:00,,,,
Removed,Black Point (duplicate),,10587889,na,12/2/2017,15,438,,,2/13/2019,12/10/2018,BT_TCBKPT_1712_1811_dup,11/28/2018,14:00:00,,,,
Removed,Flat Cay,,10147143,na,12/12/2017,15,438,,,2/23/2019,12/10/2018,BT_TCFLTC_1712_1812,11/27/2018,14:15:00,Logger battery very low,,,
Removed,Flat Cay (duplicate),,10744982,na,12/12/2017,15,438,,,2/23/2019,12/10/2018,BT_TCFLTC_1712_1812_dup,12:3/18,,,,,
Removed,Seahorse Cottage Shoal,,10605988,na,12/12/2017,15,438,,,2/23/2019,12/10/2018,BT_TCSHCS_1712_1812,11/27/2018,12:00:00,,,,
Removed,Seahorse Cottage Shoal (duplicate),,10605979,na,12/12/2017,15,438,,,2/23/2019,12/10/2018,BT_TCSHCS_1712_1812_dup,11/27/2018,12:00:00,,,,
Running,Grammanik Bank VR170,,20066308,na,12/12/2017,15,438,,,2/23/2019,,,,,Coordinates of the site 18.18742        -64.9604,,,
Removed,Coral Bay (STJ),,20066322,na,1/18/2018,15,438,1/18/2018,~13:00,4/1/2019,10/30/2018,BT_TCCORB_1801_1810,10/25/2018,13:15:00,,,,
Removed,Little St. James,,10558255,na,1/18/2018,15,438,1/18/2018,10:00:00,4/1/2019,12/13/2018,BT_TCLSTJ_1801_1812,12/12/2018,14:45:00,,,,
Removed,Jacks Bay (STX),,10455138,na,2/25/2018,15,438,2/25/2018,10:45:00,5/9/2019,11/15/2018,BT_TCJCKB_1802_1811,11/2/2018,11:00:00,,,,
Removed,Castle (STX),,10629075,na,2/25/2018,15,438,2/28/2018,15:00:00,5/9/2019,11/15/2018,BT_TCCSTL_1802-1811,11/2/2018,13:00:00,,,,
Removed,Eagle Ray (STX),,10587890,na,2/25/2018,15,438,2/27/2018,15:00:00,5/9/2019,11/15/2018,BT_TCEAGR_1802_1811,11/2/2018,15:00:00,,,,
Removed,Mutton (STX),,10147140,na,2/26/2018,15,438,2/26/2018,11:05:00,5/10/2019,,,11/3/2018,,Logger not communicating after field retrieval,,,
Removed,Mutton (STX),,10221318,na,2/26/2018,15,438,2/26/2018,11:00:00,5/10/2019,11/15/2018,BT_TCMT40_1802_1811,11/3/2018,,,,,
Removed,Kings (STX),,10777022,na,2/26/2018,15,438,2/26/2018,0:00:00,5/10/2019,11/15/2018,BT_TCKNGC_1802_1811,11/3/2018,13:45:00,,,,
Removed,Sprat (STX),,10192584,na,2/26/2018,15,438,2/26/2018,16:00:00,5/10/2019,11/15/2018,BT_TCSPTH_1802_1811,11/5/2018,15:30:00,,,,
Removed,Cane 39 (STX),,10221311,na,2/27/2018,15,438,2/27/2018,11:30:00,5/11/2019,11/20/2018,BT_TCCB40_1802_1811,11/5/2018,11:15:00,Logger battery very low,,,
Removed,Cane 09 (STX),,10558248,na,2/27/2018,15,438,2/27/2018,12:00:00,5/11/2019,,BT_TCCB09_1802_1811,11/5/2018,12:15:00,,,,
Removed,Salt 40 (STX),,10745000,na,2/28/2018,15,438,2/28/2018,10:30:00,5/12/2019,11/15/2018,BT_TCSR41_1802_1811,11/4/2018,11:30:00,,,,
Removed,Salt 30 (STX),,10778707,na,2/28/2018,15,438,2/28/2018,10:30:00,5/12/2019,11/15/2018,BT_TCSR30_1802_1811,11/4/2018,12:00:00,,,,
Removed,Lang EEMP (STX),,10558250,na,3/1/2018,15,438,3/1/2018,10:30:00,5/13/2019,11/15/2018,BT_TCLBEM_1803_1811,11/6/2018,14:00:00,,,,
Removed,Great Pond (STX),,10606033,na,3/1/2018,15,438,3/1/2018,15:00:00,5/13/2019,11/15/2018,BT_TCGRPD_1803_1811,11/7/2018,14:15:00,,,,
Removed,Lang Hind (STX),,10629064,na,3/2/2018,15,438,3/2/2018,10:00:00,5/14/2019,11/15/2018,BT-TCLBHD_1803_1811,11/6/2018,10:00:00,,,,
Removed,Fish Bay (STJ),,10587899,na,3/13/2018,15,438,6/5/2018,~13:00,5/25/2019,10/30/2018,BT_TCFSHB_1803_1810,10/25/2018,16:30:00,,,,
Removed,Meri Shoal (STJ),,20291521,na,3/13/2018,15,438,6/5/2018,11:15:00,5/25/2019,12/13/2018,BT_TCMERI_1806_1812,12/12/2018,13:45:00,,,,
Removed,South Capella,,10744985,na,3/13/2018,15,438,3/13/2018,11:30:00,5/25/2019,10/12/2018,BT_TCSCAP_1803.csv,10/11/2018,11:00:00,,,,
Removed,South Water,,20291520,na,3/13/2018,15,438,3/13/2018,13:30:00,5/25/2019,12/10/2018,BT_TCSWAT_1803_1812,12/4/2018,14:15:00,,,,
Removed,Grammanik Tiger FSA,,20291518,na,3/13/2018,30,906,3/15/2018,11:15:00,9/4/2020,12/10/2018,BT_TCGMKT_1803_1811_a,11/28/2018,10:15:00,,,,
Removed,Grammanik Tiger FSA,,10455133,na,3/13/2018,30,906,3/15/2018,11:15:00,9/4/2020,12/10/2018,BT_TCGMKT_1803_1811_b,11/28/2018,10:15:00,,,,
Removed,South Capella 35 m Lesion Study,,10606034,na,3/13/2018,30,906,,,9/4/2020,9/13/2018,BT_SCP35M_1803_1809.casv,,,,,,
Removed,Ginsburg Fringe,,20291527,na,3/13/2018,30,906,5/22/2018,11:30:00,9/4/2020,12/13/2018,BT_TCGB63_1805_1812_b,12/12/2018,10:30:00,,,,
Removed,Hind Bank,,20291519,na,3/13/2018,15,438,5/11/2018,12:15:00,5/25/2019,12/10/2018,BT_TCHB40_1806_1811,11/28/2018,11:00:00,,,,
Removed,College Shoal,,20291529,na,3/13/2018,15,438,4/17/2018,13:30:00,5/25/2019,12/10/2018,BT_TCCLGE_1804_1811,11/29/2019,12:15:00,,,,
Running,Grammanik009_80,,10302370,na,3/26/2018,15,438,,,6/7/2019,,,,,ordered replacement logger from Onset,,,
Running,Grammanik009_115,,10778710,na,3/26/2018,15,438,,,6/7/2019,,,,,ordered replacement logger from Onset,,,
Removed,Ginsburg Fringe,,20291522,na,5/22/2018,30,906,5/22/2018,11:30:00,11/13/2020,12/13/2018,BT_TCGB63_1805_1812_a,12/12/2018,10:30:00,ordered replacement logger from Onset,,,
Removed,PUVGC a,,20423430,na,8/9/2018,30,906,8/10/2018,10:30:00,1/31/2021,,BT_PUVGC_1808_2102_a,1/30/2021,11:00:00,ordered replacement logger from Onset,,,Check data time in with file
Removed,PUVGC b,,20291516,na,8/9/2018,30,906,8/10/2018,10:30:00,1/31/2021,,BT_PUVGC_1808_2102_b,1/30/2021,11:15:00,ordered replacement logger from Onset,,,
Removed,PUVM18 a,,20423417,na,8/9/2018,30,906,8/10/2018,9:32:00,1/31/2021,,lost,1/30/2021,11:00:00,ordered replacement logger from Onset,,,
Removed,PUVM18 b,,20423432,na,8/9/2018,30,906,8/10/2018,9:32:00,1/31/2021,,BT_PUVM18_1808_2102_,1/30/2021,11:15:00,ordered replacement logger from Onset,,,
Removed,PUVF10 a,,20423427,na,8/9/2018,30,906,8/10/2018,9:50:00,1/31/2021,,BT_PUVF10_1808_2102_ a,1/30/2021,11:00:00,ordered replacement logger from Onset,,,
Removed,PUVF10 b,,20423421,na,8/9/2018,30,906,8/10/2018,9:50:00,1/31/2021,,BT_PUVF10_1808_2102_b,1/30/2021,11:15:00,ordered replacement logger from Onset,,,
Removed,PUVFLT a,,20423423,na,8/9/2018,30,906,8/10/2018,10:43:00,1/31/2021,,BT_PUVFLT_1808_2102_a,1/30/2021,11:00:00,ordered replacement logger from Onset,,,
